date,sales,returns,return_rate,new_customers,avg_order_value,order_source,category,product_id,inventory,profit_margin,profit,month
2023-01-01,1099.3428306022465,85.97241006393581,7.820345725713065,13,84.56483312324973,Direct,Jeans,Product_18,442,0.35,384.76999071078626,2023-01
2023-01-02,980.5178940815315,66.42415948344474,6.774395437797229,22,44.56899518552416,Instagram,Shirts,Product_13,469,0.25,245.12947352038287,2023-01
2023-01-03,1148.5042370296587,143.63363411513203,12.506147516408584,19,60.44759142261362,Other,Jeans,Product_2,135,0.35,401.9764829603805,2023-01
2023-01-04,1337.4168606178266,174.77828143371403,13.068347392672642,29,46.117822779925056,Website,Jackets,Product_9,283,0.4,534.9667442471307,2023-01
2023-01-05,985.0664209413075,146.82465656252182,14.905051420006728,15,65.6710947294205,Instagram,Accessories,Product_2,139,0.45,443.2798894235884,2023-01
2023-01-06,992.9383597097375,90.6173099154543,9.126176769114265,10,99.29383597097375,Facebook,Jeans,Product_9,363,0.35,347.5284258984081,2023-01
2023-01-07,1381.5041468807074,120.46966016777063,8.720180857927831,19,72.71074457266882,Facebook,T-Shirts,Product_1,103,0.3,414.4512440642122,2023-01
2023-01-08,1220.3823730270685,155.77118779928242,12.764129607419965,24,50.84926554279452,Instagram,Shirts,Product_11,61,0.25,305.09559325676713,2023-01
2023-01-09,965.8944415296761,81.21274659488633,8.408035402530178,20,48.29472207648381,Direct,Accessories,Product_3,258,0.45,434.6524986883542,2023-01
2023-01-10,1190.385942808037,170.3153407968105,14.307573256035647,19,62.65189172673879,Other,T-Shirts,Product_20,63,0.3,357.1157828424111,2023-01
2023-01-11,981.3563989306324,133.30870464101088,13.584127518430117,22,44.607109042301474,Instagram,Shirts,Product_4,170,0.25,245.3390997326581,2023-01
2023-01-12,987.7481449219002,91.76121271831994,9.289940273750183,11,89.79528590199094,Facebook,Shirts,Product_18,467,0.25,246.93703623047506,2023-01
2023-01-13,1149.7145882109633,143.81447146109093,12.508710677914975,22,52.25975400958924,Facebook,Shirts,Product_6,486,0.25,287.4286470527408,2023-01
2023-01-14,681.4963527937648,85.49663931121182,12.545428740846823,7,97.35662182768068,Instagram,T-Shirts,Product_3,426,0.3,204.44890583812943,2023-01
2023-01-15,727.7264144838675,43.890917055761165,6.031238688359326,11,66.15694677126068,Website,Shirts,Product_11,69,0.25,181.93160362096688,2023-01
2023-01-16,992.1809178699262,139.15862303104655,14.025529066795666,20,49.609045893496315,Website,Accessories,Product_15,124,0.45,446.4814130414668,2023-01
2023-01-17,896.77853216772,90.14887470219074,10.05252372447857,13,68.98296401290153,Website,T-Shirts,Product_5,449,0.3,269.03355965031596,2023-01
2023-01-18,1202.1298517671473,159.45741171075252,13.264574661077416,22,54.64226598941579,Website,T-Shirts,Product_20,292,0.3,360.6389555301442,2023-01
2023-01-19,930.7417183635689,76.32543748065906,8.200496010306118,23,40.46703123319865,Website,Accessories,Product_10,272,0.45,418.833773263606,2023-01
